Date      = Sat Apr 23 23:40:39 EDT 2022
host      = c0909a-s35
Directory = /blue/ctolerfranklin/michaelperez012/videogan-pytorch
Model restored
Epoch 9/10 | Iter 53/30188 | D 2.8580e-04 | G 1.2479e+01 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 54/30188 | D 1.0156e-01 | G 7.8702e+00 | Real 0.85 | Fake 0.00
Epoch 9/10 | Iter 55/30188 | D 1.8556e-03 | G 8.9652e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 56/30188 | D 6.1933e-03 | G 4.4597e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 57/30188 | D 6.5859e-02 | G 8.2474e+00 | Real 0.97 | Fake 0.08
Epoch 9/10 | Iter 58/30188 | D 1.0969e-02 | G 1.0375e+01 | Real 1.00 | Fake 0.02
Epoch 9/10 | Iter 59/30188 | D 3.1081e-03 | G 5.1187e+00 | Real 0.99 | Fake 0.00
Epoch 9/10 | Iter 60/30188 | D 1.6334e-03 | G 1.0392e+01 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 61/30188 | D 4.6950e-02 | G 8.3952e+00 | Real 0.93 | Fake 0.02
Epoch 9/10 | Iter 62/30188 | D 9.9202e-03 | G 5.2119e+00 | Real 0.98 | Fake 0.00
Epoch 9/10 | Iter 63/30188 | D 4.1819e-03 | G 7.2778e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 64/30188 | D 5.3081e-03 | G 8.6490e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 65/30188 | D 2.9672e-03 | G 6.8564e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 66/30188 | D 2.3430e-01 | G 1.3303e+01 | Real 1.00 | Fake 0.29
Epoch 9/10 | Iter 67/30188 | D 2.8486e-01 | G 9.5138e+00 | Real 0.83 | Fake 0.00
Epoch 9/10 | Iter 68/30188 | D 3.9350e-03 | G 5.1779e+00 | Real 0.99 | Fake 0.00
Epoch 9/10 | Iter 69/30188 | D 1.7357e-04 | G 7.2733e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 70/30188 | D 3.1897e-03 | G 7.5641e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 71/30188 | D 3.9290e-03 | G 7.3293e+00 | Real 0.99 | Fake 0.00
Epoch 9/10 | Iter 72/30188 | D 5.7165e-02 | G 7.7397e+00 | Real 0.91 | Fake 0.01
Epoch 9/10 | Iter 73/30188 | D 3.3537e-02 | G 8.0021e+00 | Real 0.96 | Fake 0.02
Epoch 9/10 | Iter 74/30188 | D 4.1115e-02 | G 9.3276e+00 | Real 1.00 | Fake 0.06
Epoch 9/10 | Iter 75/30188 | D 3.1283e-03 | G 9.4265e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 76/30188 | D 6.1266e-02 | G 1.1969e+01 | Real 1.00 | Fake 0.09
Epoch 9/10 | Iter 77/30188 | D 1.4375e-02 | G 1.0545e+01 | Real 0.98 | Fake 0.01
Epoch 9/10 | Iter 78/30188 | D 2.9624e-03 | G 9.6251e+00 | Real 0.99 | Fake 0.00
Epoch 9/10 | Iter 79/30188 | D 8.8305e-03 | G 7.4403e+00 | Real 0.98 | Fake 0.00
Epoch 9/10 | Iter 80/30188 | D 1.4125e-02 | G 1.1310e+01 | Real 0.97 | Fake 0.00
Epoch 9/10 | Iter 81/30188 | D 4.3053e-03 | G 9.5243e+00 | Real 0.99 | Fake 0.00
Epoch 9/10 | Iter 82/30188 | D 2.5422e-03 | G 9.0416e+00 | Real 1.00 | Fake 0.00
